Frame	Joint Torques (Nm)	Angles (rad)	End Effector Position (m)
99	0.00, -5.60, 5.08, 0.53, 0.00	-3.08, -0.51, -1.54, -0.51, -0.51	-0.15, -0.01, -0.50
100	0.00, -5.41, 5.24, 0.51, 0.00	-3.11, -0.52, -1.56, -0.52, -0.52	-0.14, -0.00, -0.50
101	0.00, -5.22, 5.40, 0.49, 0.00	-3.14, -0.52, -1.57, -0.52, -0.52	-0.13, -0.00, -0.50
102	0.00, -5.41, 5.24, 0.51, 0.00	-3.11, -0.52, -1.56, -0.52, -0.52	-0.14, -0.00, -0.50
103	0.00, -5.60, 5.08, 0.53, 0.00	-3.08, -0.51, -1.54, -0.51, -0.51	-0.15, -0.01, -0.50
104	0.00, -5.80, 4.92, 0.56, 0.00	-3.05, -0.51, -1.52, -0.51, -0.51	-0.16, -0.01, -0.51
105	0.00, -5.99, 4.75, 0.58, 0.00	-3.02, -0.50, -1.51, -0.50, -0.50	-0.17, -0.02, -0.51
106	0.00, -6.19, 4.59, 0.60, 0.00	-2.98, -0.50, -1.49, -0.50, -0.50	-0.17, -0.03, -0.52
107	0.00, -6.39, 4.42, 0.62, 0.00	-2.95, -0.49, -1.48, -0.49, -0.49	-0.18, -0.03, -0.52
108	0.00, -6.59, 4.25, 0.64, 0.00	-2.92, -0.49, -1.46, -0.49, -0.49	-0.19, -0.04, -0.52
109	0.00, -6.79, 4.08, 0.66, 0.00	-2.89, -0.48, -1.45, -0.48, -0.48	-0.20, -0.05, -0.53
110	0.00, -7.00, 3.90, 0.68, 0.00	-2.86, -0.48, -1.43, -0.48, -0.48	-0.20, -0.06, -0.53
111	0.00, -7.20, 3.73, 0.69, 0.00	-2.83, -0.47, -1.41, -0.47, -0.47	-0.21, -0.07, -0.53
112	0.00, -7.41, 3.55, 0.71, 0.00	-2.80, -0.47, -1.40, -0.47, -0.47	-0.22, -0.08, -0.53
113	0.00, -7.62, 3.37, 0.73, 0.00	-2.76, -0.46, -1.38, -0.46, -0.46	-0.22, -0.09, -0.54
114	0.00, -7.83, 3.19, 0.75, 0.00	-2.73, -0.46, -1.37, -0.46, -0.46	-0.23, -0.10, -0.54
115	0.00, -8.04, 3.00, 0.76, 0.00	-2.70, -0.45, -1.35, -0.45, -0.45	-0.23, -0.11, -0.54
116	0.00, -8.25, 2.82, 0.78, 0.00	-2.67, -0.45, -1.34, -0.45, -0.45	-0.24, -0.12, -0.54
117	0.00, -8.46, 2.63, 0.79, 0.00	-2.64, -0.44, -1.32, -0.44, -0.44	-0.24, -0.13, -0.55
118	0.00, -8.68, 2.44, 0.81, 0.00	-2.61, -0.43, -1.30, -0.43, -0.43	-0.25, -0.15, -0.55
119	0.00, -8.89, 2.26, 0.82, 0.00	-2.58, -0.43, -1.29, -0.43, -0.43	-0.25, -0.16, -0.55
120	0.00, -9.11, 2.07, 0.84, 0.00	-2.54, -0.42, -1.27, -0.42, -0.42	-0.25, -0.17, -0.55
121	0.00, -9.33, 1.87, 0.85, 0.00	-2.51, -0.42, -1.26, -0.42, -0.42	-0.26, -0.19, -0.55
122	0.00, -9.55, 1.68, 0.86, 0.00	-2.48, -0.41, -1.24, -0.41, -0.41	-0.26, -0.20, -0.55
123	0.00, -9.76, 1.49, 0.87, 0.00	-2.45, -0.41, -1.23, -0.41, -0.41	-0.26, -0.22, -0.55
124	0.00, -9.98, 1.30, 0.89, 0.00	-2.42, -0.40, -1.21, -0.40, -0.40	-0.26, -0.23, -0.55
125	0.00, -10.20, 1.10, 0.90, 0.00	-2.39, -0.40, -1.19, -0.40, -0.40	-0.26, -0.25, -0.55
126	0.00, -10.42, 0.91, 0.91, 0.00	-2.36, -0.39, -1.18, -0.39, -0.39	-0.26, -0.26, -0.55
127	0.00, -10.64, 0.71, 0.92, 0.00	-2.32, -0.39, -1.16, -0.39, -0.39	-0.26, -0.28, -0.55
128	0.00, -10.86, 0.51, 0.92, 0.00	-2.29, -0.38, -1.15, -0.38, -0.38	-0.26, -0.29, -0.55
129	0.00, -11.08, 0.32, 0.93, 0.00	-2.26, -0.38, -1.13, -0.38, -0.38	-0.26, -0.31, -0.55
130	0.00, -11.31, 0.12, 0.94, 0.00	-2.23, -0.37, -1.12, -0.37, -0.37	-0.25, -0.33, -0.55
131	0.00, -11.53, -0.08, 0.95, 0.00	-2.20, -0.37, -1.10, -0.37, -0.37	-0.25, -0.34, -0.55
132	0.00, -11.75, -0.28, 0.95, 0.00	-2.17, -0.36, -1.08, -0.36, -0.36	-0.24, -0.36, -0.55
133	0.00, -11.97, -0.47, 0.96, 0.00	-2.14, -0.36, -1.07, -0.36, -0.36	-0.24, -0.37, -0.55
134	0.00, -12.19, -0.67, 0.96, 0.00	-2.10, -0.35, -1.05, -0.35, -0.35	-0.23, -0.39, -0.55
135	0.00, -12.41, -0.87, 0.97, 0.00	-2.07, -0.35, -1.04, -0.35, -0.35	-0.22, -0.41, -0.54
136	0.00, -12.63, -1.07, 0.97, 0.00	-2.04, -0.34, -1.02, -0.34, -0.34	-0.22, -0.42, -0.54
137	0.00, -12.84, -1.26, 0.98, 0.00	-2.01, -0.34, -1.01, -0.34, -0.34	-0.21, -0.44, -0.54
138	0.00, -13.06, -1.46, 0.98, 0.00	-1.98, -0.33, -0.99, -0.33, -0.33	-0.20, -0.46, -0.54
139	0.00, -13.28, -1.66, 0.98, 0.00	-1.95, -0.32, -0.97, -0.32, -0.32	-0.19, -0.47, -0.54
140	0.00, -13.50, -1.85, 0.98, 0.00	-1.92, -0.32, -0.96, -0.32, -0.32	-0.18, -0.49, -0.53
141	0.00, -13.71, -2.05, 0.98, 0.00	-1.88, -0.31, -0.94, -0.31, -0.31	-0.16, -0.50, -0.53
142	0.00, -13.93, -2.25, 0.98, 0.00	-1.85, -0.31, -0.93, -0.31, -0.31	-0.15, -0.52, -0.53
143	0.00, -14.14, -2.44, 0.98, 0.00	-1.82, -0.30, -0.91, -0.30, -0.30	-0.14, -0.53, -0.52
144	0.00, -14.35, -2.63, 0.98, 0.00	-1.79, -0.30, -0.90, -0.30, -0.30	-0.12, -0.55, -0.52
145	0.00, -14.57, -2.83, 0.98, 0.00	-1.76, -0.29, -0.88, -0.29, -0.29	-0.11, -0.56, -0.52
146	0.00, -14.78, -3.02, 0.97, 0.00	-1.73, -0.29, -0.86, -0.29, -0.29	-0.09, -0.58, -0.51
147	0.00, -14.98, -3.21, 0.97, 0.00	-1.70, -0.28, -0.85, -0.28, -0.28	-0.07, -0.59, -0.51
148	0.00, -15.19, -3.40, 0.96, 0.00	-1.67, -0.28, -0.83, -0.28, -0.28	-0.06, -0.60, -0.50
149	0.00, -15.40, -3.59, 0.96, 0.00	-1.63, -0.27, -0.82, -0.27, -0.27	-0.04, -0.61, -0.50
150	0.00, -15.60, -3.77, 0.95, 0.00	-1.60, -0.27, -0.80, -0.27, -0.27	-0.02, -0.63, -0.49
151	0.00, -15.80, -3.96, 0.95, 0.00	-1.57, -0.26, -0.79, -0.26, -0.26	0.00, -0.64, -0.49
152	0.00, -16.00, -4.14, 0.94, 0.00	-1.54, -0.26, -0.77, -0.26, -0.26	0.02, -0.65, -0.48
153	0.00, -16.20, -4.32, 0.93, 0.00	-1.51, -0.25, -0.75, -0.25, -0.25	0.04, -0.66, -0.48
154	0.00, -16.40, -4.50, 0.92, 0.00	-1.48, -0.25, -0.74, -0.25, -0.25	0.06, -0.66, -0.47
155	0.00, -16.59, -4.68, 0.92, 0.00	-1.45, -0.24, -0.72, -0.24, -0.24	0.08, -0.67, -0.47
156	0.00, -16.78, -4.86, 0.91, 0.00	-1.41, -0.24, -0.71, -0.24, -0.24	0.11, -0.68, -0.46
157	0.00, -16.97, -5.03, 0.90, 0.00	-1.38, -0.23, -0.69, -0.23, -0.23	0.13, -0.69, -0.45
158	0.00, -17.16, -5.21, 0.89, 0.00	-1.35, -0.23, -0.68, -0.23, -0.23	0.15, -0.69, -0.45
159	0.00, -17.35, -5.38, 0.87, 0.00	-1.32, -0.22, -0.66, -0.22, -0.22	0.18, -0.70, -0.44
160	0.00, -17.53, -5.55, 0.86, 0.00	-1.29, -0.21, -0.64, -0.21, -0.21	0.20, -0.70, -0.43
161	0.00, -17.71, -5.71, 0.85, 0.00	-1.26, -0.21, -0.63, -0.21, -0.21	0.23, -0.70, -0.43
162	0.00, -17.89, -5.88, 0.84, 0.00	-1.23, -0.20, -0.61, -0.20, -0.20	0.25, -0.70, -0.42
163	0.00, -18.06, -6.04, 0.82, 0.00	-1.19, -0.20, -0.60, -0.20, -0.20	0.28, -0.70, -0.41
164	0.00, -18.23, -6.20, 0.81, 0.00	-1.16, -0.19, -0.58, -0.19, -0.19	0.30, -0.70, -0.40
165	0.00, -18.40, -6.36, 0.79, 0.00	-1.13, -0.19, -0.57, -0.19, -0.19	0.33, -0.70, -0.39
166	0.00, -18.57, -6.51, 0.78, 0.00	-1.10, -0.18, -0.55, -0.18, -0.18	0.36, -0.70, -0.39
167	0.00, -18.73, -6.66, 0.76, 0.00	-1.07, -0.18, -0.53, -0.18, -0.18	0.38, -0.69, -0.38
168	0.00, -18.89, -6.81, 0.75, 0.00	-1.04, -0.17, -0.52, -0.17, -0.17	0.41, -0.69, -0.37
169	0.00, -19.05, -6.96, 0.73, 0.00	-1.01, -0.17, -0.50, -0.17, -0.17	0.43, -0.68, -0.36
170	0.00, -19.20, -7.10, 0.71, 0.00	-0.97, -0.16, -0.49, -0.16, -0.16	0.46, -0.68, -0.35
171	0.00, -19.35, -7.24, 0.69, 0.00	-0.94, -0.16, -0.47, -0.16, -0.16	0.49, -0.67, -0.34
172	0.00, -19.50, -7.38, 0.68, 0.00	-0.91, -0.15, -0.46, -0.15, -0.15	0.51, -0.66, -0.33
173	0.00, -19.65, -7.51, 0.66, 0.00	-0.88, -0.15, -0.44, -0.15, -0.15	0.54, -0.65, -0.32
174	0.00, -19.79, -7.65, 0.64, 0.00	-0.85, -0.14, -0.42, -0.14, -0.14	0.56, -0.64, -0.31
175	0.00, -19.92, -7.77, 0.62, 0.00	-0.82, -0.14, -0.41, -0.14, -0.14	0.59, -0.63, -0.30
176	0.00, -20.06, -7.90, 0.60, 0.00	-0.79, -0.13, -0.39, -0.13, -0.13	0.61, -0.61, -0.29
177	0.00, -20.19, -8.02, 0.58, 0.00	-0.75, -0.13, -0.38, -0.13, -0.13	0.64, -0.60, -0.28
178	0.00, -20.31, -8.14, 0.56, 0.00	-0.72, -0.12, -0.36, -0.12, -0.12	0.66, -0.58, -0.27
179	0.00, -20.43, -8.25, 0.53, 0.00	-0.69, -0.12, -0.35, -0.12, -0.12	0.69, -0.57, -0.26
180	0.00, -20.55, -8.36, 0.51, 0.00	-0.66, -0.11, -0.33, -0.11, -0.11	0.71, -0.55, -0.25
181	0.00, -20.67, -8.47, 0.49, 0.00	-0.63, -0.10, -0.31, -0.10, -0.10	0.73, -0.53, -0.24
182	0.00, -20.78, -8.58, 0.47, 0.00	-0.60, -0.10, -0.30, -0.10, -0.10	0.75, -0.51, -0.23
183	0.00, -20.88, -8.68, 0.45, 0.00	-0.57, -0.09, -0.28, -0.09, -0.09	0.77, -0.49, -0.22
184	0.00, -20.99, -8.77, 0.42, 0.00	-0.53, -0.09, -0.27, -0.09, -0.09	0.79, -0.47, -0.21
185	0.00, -21.08, -8.87, 0.40, 0.00	-0.50, -0.08, -0.25, -0.08, -0.08	0.81, -0.45, -0.20
186	0.00, -21.18, -8.95, 0.38, 0.00	-0.47, -0.08, -0.24, -0.08, -0.08	0.83, -0.42, -0.19
187	0.00, -21.27, -9.04, 0.35, 0.00	-0.44, -0.07, -0.22, -0.07, -0.07	0.85, -0.40, -0.17
188	0.00, -21.36, -9.12, 0.33, 0.00	-0.41, -0.07, -0.20, -0.07, -0.07	0.87, -0.38, -0.16
189	0.00, -21.44, -9.20, 0.30, 0.00	-0.38, -0.06, -0.19, -0.06, -0.06	0.89, -0.35, -0.15
190	0.00, -21.51, -9.27, 0.28, 0.00	-0.35, -0.06, -0.17, -0.06, -0.06	0.90, -0.32, -0.14
191	0.00, -21.59, -9.34, 0.25, 0.00	-0.31, -0.05, -0.16, -0.05, -0.05	0.92, -0.30, -0.13
192	0.00, -21.66, -9.41, 0.23, 0.00	-0.28, -0.05, -0.14, -0.05, -0.05	0.93, -0.27, -0.11
193	0.00, -21.72, -9.47, 0.20, 0.00	-0.25, -0.04, -0.13, -0.04, -0.04	0.94, -0.24, -0.10
194	0.00, -21.78, -9.53, 0.18, 0.00	-0.22, -0.04, -0.11, -0.04, -0.04	0.95, -0.21, -0.09
195	0.00, -21.84, -9.58, 0.15, 0.00	-0.19, -0.03, -0.09, -0.03, -0.03	0.96, -0.18, -0.08
196	0.00, -21.89, -9.63, 0.13, 0.00	-0.16, -0.03, -0.08, -0.03, -0.03	0.97, -0.15, -0.06
197	0.00, -21.93, -9.67, 0.10, 0.00	-0.13, -0.02, -0.06, -0.02, -0.02	0.98, -0.12, -0.05
198	0.00, -21.97, -9.71, 0.08, 0.00	-0.09, -0.02, -0.05, -0.02, -0.02	0.99, -0.09, -0.04
199	0.00, -22.01, -9.75, 0.05, 0.00	-0.06, -0.01, -0.03, -0.01, -0.01	0.99, -0.06, -0.03
200	0.00, -22.04, -9.78, 0.03, 0.00	-0.03, -0.01, -0.02, -0.01, -0.01	1.00, -0.03, -0.01
201	0.00, -22.07, -9.81, 0.00, 0.00	0.00, 0.00, 0.00, 0.00, 0.00	1.00, 0.00, 0.00
202	0.00, -22.07, -9.81, 0.00, 0.00	0.00, 0.00, 0.00, 0.00, 0.00	1.00, 0.00, 0.00
203	0.00, -22.04, -9.78, 0.03, 0.00	-0.03, -0.01, -0.02, -0.01, -0.01	1.00, -0.03, -0.01
204	0.00, -22.01, -9.75, 0.05, 0.00	-0.06, -0.01, -0.03, -0.01, -0.01	0.99, -0.06, -0.03
205	0.00, -21.97, -9.71, 0.08, 0.00	-0.09, -0.02, -0.05, -0.02, -0.02	0.99, -0.09, -0.04
206	0.00, -21.93, -9.67, 0.10, 0.00	-0.13, -0.02, -0.06, -0.02, -0.02	0.98, -0.12, -0.05
207	0.00, -21.89, -9.63, 0.13, 0.00	-0.16, -0.03, -0.08, -0.03, -0.03	0.97, -0.15, -0.06
208	0.00, -21.84, -9.58, 0.15, 0.00	-0.19, -0.03, -0.09, -0.03, -0.03	0.96, -0.18, -0.08
209	0.00, -21.78, -9.53, 0.18, 0.00	-0.22, -0.04, -0.11, -0.04, -0.04	0.95, -0.21, -0.09
210	0.00, -21.72, -9.47, 0.20, 0.00	-0.25, -0.04, -0.13, -0.04, -0.04	0.94, -0.24, -0.10
211	0.00, -21.66, -9.41, 0.23, 0.00	-0.28, -0.05, -0.14, -0.05, -0.05	0.93, -0.27, -0.11
