Frame	Joint Torques (Nm)	Angles (rad)	End Effector Position (m)
102	0.00, -21.59, -9.32, 0.49, 0.00	0.00, 0.00, 0.00, -0.52, 0.00	0.95, 0.00, 0.01
103	0.00, -21.59, -9.33, 0.48, 0.00	0.00, 0.00, 0.00, -0.51, 0.00	0.95, 0.00, 0.01
104	0.00, -21.60, -9.33, 0.48, 0.00	0.00, 0.00, 0.00, -0.51, 0.00	0.95, 0.00, 0.01
105	0.00, -21.60, -9.34, 0.47, 0.00	0.00, 0.00, 0.00, -0.50, 0.00	0.95, 0.00, 0.01
106	0.00, -21.60, -9.34, 0.47, 0.00	0.00, 0.00, 0.00, -0.50, 0.00	0.95, 0.00, 0.01
107	0.00, -21.61, -9.35, 0.46, 0.00	0.00, 0.00, 0.00, -0.49, 0.00	0.95, 0.00, 0.01
108	0.00, -21.61, -9.35, 0.46, 0.00	0.00, 0.00, 0.00, -0.49, 0.00	0.95, 0.00, 0.01
109	0.00, -21.62, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.48, 0.00	0.95, 0.00, 0.01
110	0.00, -21.62, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.48, 0.00	0.95, 0.00, 0.01
111	0.00, -21.63, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.47, 0.00	0.95, 0.00, 0.01
112	0.00, -21.63, -9.37, 0.44, 0.00	0.00, 0.00, 0.00, -0.47, 0.00	0.96, 0.00, 0.01
113	0.00, -21.64, -9.37, 0.44, 0.00	0.00, 0.00, 0.00, -0.46, 0.00	0.96, 0.00, 0.01
114	0.00, -21.64, -9.38, 0.43, 0.00	0.00, 0.00, 0.00, -0.46, 0.00	0.96, 0.00, 0.01
115	0.00, -21.65, -9.38, 0.43, 0.00	0.00, 0.00, 0.00, -0.45, 0.00	0.96, 0.00, 0.01
116	0.00, -21.65, -9.39, 0.42, 0.00	0.00, 0.00, 0.00, -0.45, 0.00	0.96, 0.00, 0.01
117	0.00, -21.65, -9.39, 0.42, 0.00	0.00, 0.00, 0.00, -0.44, 0.00	0.96, 0.00, 0.01
118	0.00, -21.66, -9.40, 0.41, 0.00	0.00, 0.00, 0.00, -0.43, 0.00	0.96, 0.00, 0.01
119	0.00, -21.66, -9.40, 0.41, 0.00	0.00, 0.00, 0.00, -0.43, 0.00	0.96, 0.00, 0.01
120	0.00, -21.67, -9.41, 0.40, 0.00	0.00, 0.00, 0.00, -0.42, 0.00	0.96, 0.00, 0.01
121	0.00, -21.67, -9.41, 0.40, 0.00	0.00, 0.00, 0.00, -0.42, 0.00	0.96, 0.00, 0.01
122	0.00, -21.68, -9.42, 0.39, 0.00	0.00, 0.00, 0.00, -0.41, 0.00	0.96, 0.00, 0.01
123	0.00, -21.68, -9.42, 0.39, 0.00	0.00, 0.00, 0.00, -0.41, 0.00	0.96, 0.00, 0.01
124	0.00, -21.69, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.40, 0.00	0.96, 0.00, 0.01
125	0.00, -21.69, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.40, 0.00	0.96, 0.00, 0.01
126	0.00, -21.70, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.39, 0.00	0.96, 0.00, 0.01
127	0.00, -21.70, -9.44, 0.37, 0.00	0.00, 0.00, 0.00, -0.39, 0.00	0.96, 0.00, 0.01
128	0.00, -21.71, -9.44, 0.37, 0.00	0.00, 0.00, 0.00, -0.38, 0.00	0.96, 0.00, 0.01
129	0.00, -21.71, -9.45, 0.36, 0.00	0.00, 0.00, 0.00, -0.38, 0.00	0.96, 0.00, 0.01
130	0.00, -21.72, -9.45, 0.36, 0.00	0.00, 0.00, 0.00, -0.37, 0.00	0.96, 0.00, 0.01
131	0.00, -21.72, -9.46, 0.35, 0.00	0.00, 0.00, 0.00, -0.37, 0.00	0.96, 0.00, 0.01
132	0.00, -21.73, -9.46, 0.35, 0.00	0.00, 0.00, 0.00, -0.36, 0.00	0.96, 0.00, 0.01
133	0.00, -21.73, -9.47, 0.34, 0.00	0.00, 0.00, 0.00, -0.36, 0.00	0.97, 0.00, 0.01
134	0.00, -21.74, -9.47, 0.34, 0.00	0.00, 0.00, 0.00, -0.35, 0.00	0.97, 0.00, 0.01
135	0.00, -21.74, -9.48, 0.33, 0.00	0.00, 0.00, 0.00, -0.35, 0.00	0.97, 0.00, 0.01
136	0.00, -21.75, -9.48, 0.33, 0.00	0.00, 0.00, 0.00, -0.34, 0.00	0.97, 0.00, 0.01
137	0.00, -21.75, -9.49, 0.32, 0.00	0.00, 0.00, 0.00, -0.34, 0.00	0.97, 0.00, 0.01
138	0.00, -21.75, -9.49, 0.32, 0.00	0.00, 0.00, 0.00, -0.33, 0.00	0.97, 0.00, 0.01
139	0.00, -21.76, -9.50, 0.31, 0.00	0.00, 0.00, 0.00, -0.32, 0.00	0.97, 0.00, 0.01
140	0.00, -21.76, -9.50, 0.31, 0.00	0.00, 0.00, 0.00, -0.32, 0.00	0.97, 0.00, 0.01
141	0.00, -21.77, -9.51, 0.30, 0.00	0.00, 0.00, 0.00, -0.31, 0.00	0.97, 0.00, 0.00
142	0.00, -21.77, -9.51, 0.30, 0.00	0.00, 0.00, 0.00, -0.31, 0.00	0.97, 0.00, 0.00
143	0.00, -21.78, -9.52, 0.29, 0.00	0.00, 0.00, 0.00, -0.30, 0.00	0.97, 0.00, 0.00
144	0.00, -21.78, -9.52, 0.29, 0.00	0.00, 0.00, 0.00, -0.30, 0.00	0.97, 0.00, 0.00
145	0.00, -21.79, -9.53, 0.28, 0.00	0.00, 0.00, 0.00, -0.29, 0.00	0.97, 0.00, 0.00
146	0.00, -21.79, -9.53, 0.28, 0.00	0.00, 0.00, 0.00, -0.29, 0.00	0.97, 0.00, 0.00
147	0.00, -21.80, -9.54, 0.27, 0.00	0.00, 0.00, 0.00, -0.28, 0.00	0.97, 0.00, 0.00
148	0.00, -21.80, -9.54, 0.27, 0.00	0.00, 0.00, 0.00, -0.28, 0.00	0.97, 0.00, 0.00
149	0.00, -21.81, -9.55, 0.26, 0.00	0.00, 0.00, 0.00, -0.27, 0.00	0.97, 0.00, 0.00
150	0.00, -21.81, -9.55, 0.26, 0.00	0.00, 0.00, 0.00, -0.27, 0.00	0.97, 0.00, 0.00
151	0.00, -21.82, -9.56, 0.25, 0.00	0.00, 0.00, 0.00, -0.26, 0.00	0.97, 0.00, 0.00
152	0.00, -21.82, -9.56, 0.25, 0.00	0.00, 0.00, 0.00, -0.26, 0.00	0.97, 0.00, 0.00
153	0.00, -21.83, -9.57, 0.24, 0.00	0.00, 0.00, 0.00, -0.25, 0.00	0.98, 0.00, 0.00
154	0.00, -21.83, -9.57, 0.24, 0.00	0.00, 0.00, 0.00, -0.25, 0.00	0.98, 0.00, 0.00
155	0.00, -21.84, -9.58, 0.23, 0.00	0.00, 0.00, 0.00, -0.24, 0.00	0.98, 0.00, 0.00
156	0.00, -21.84, -9.58, 0.23, 0.00	0.00, 0.00, 0.00, -0.24, 0.00	0.98, 0.00, 0.00
157	0.00, -21.85, -9.59, 0.22, 0.00	0.00, 0.00, 0.00, -0.23, 0.00	0.98, 0.00, 0.00
158	0.00, -21.85, -9.59, 0.22, 0.00	0.00, 0.00, 0.00, -0.23, 0.00	0.98, 0.00, 0.00
159	0.00, -21.86, -9.60, 0.21, 0.00	0.00, 0.00, 0.00, -0.22, 0.00	0.98, 0.00, 0.00
160	0.00, -21.86, -9.60, 0.21, 0.00	0.00, 0.00, 0.00, -0.21, 0.00	0.98, 0.00, 0.00
161	0.00, -21.87, -9.61, 0.20, 0.00	0.00, 0.00, 0.00, -0.21, 0.00	0.98, 0.00, 0.00
162	0.00, -21.87, -9.61, 0.20, 0.00	0.00, 0.00, 0.00, -0.20, 0.00	0.98, 0.00, 0.00
163	0.00, -21.88, -9.62, 0.19, 0.00	0.00, 0.00, 0.00, -0.20, 0.00	0.98, 0.00, 0.00
164	0.00, -21.88, -9.62, 0.19, 0.00	0.00, 0.00, 0.00, -0.19, 0.00	0.98, 0.00, 0.00
165	0.00, -21.89, -9.63, 0.18, 0.00	0.00, 0.00, 0.00, -0.19, 0.00	0.98, 0.00, 0.00
166	0.00, -21.89, -9.63, 0.18, 0.00	0.00, 0.00, 0.00, -0.18, 0.00	0.98, 0.00, 0.00
167	0.00, -21.90, -9.64, 0.17, 0.00	0.00, 0.00, 0.00, -0.18, 0.00	0.98, 0.00, 0.00
168	0.00, -21.90, -9.64, 0.17, 0.00	0.00, 0.00, 0.00, -0.17, 0.00	0.98, 0.00, 0.00
169	0.00, -21.91, -9.65, 0.16, 0.00	0.00, 0.00, 0.00, -0.17, 0.00	0.98, 0.00, 0.00
170	0.00, -21.91, -9.65, 0.16, 0.00	0.00, 0.00, 0.00, -0.16, 0.00	0.98, 0.00, 0.00
171	0.00, -21.92, -9.66, 0.15, 0.00	0.00, 0.00, 0.00, -0.16, 0.00	0.98, 0.00, 0.00
172	0.00, -21.92, -9.66, 0.15, 0.00	0.00, 0.00, 0.00, -0.15, 0.00	0.98, 0.00, 0.00
173	0.00, -21.93, -9.67, 0.14, 0.00	0.00, 0.00, 0.00, -0.15, 0.00	0.99, 0.00, 0.00
174	0.00, -21.93, -9.67, 0.14, 0.00	0.00, 0.00, 0.00, -0.14, 0.00	0.99, 0.00, 0.00
175	0.00, -21.94, -9.68, 0.13, 0.00	0.00, 0.00, 0.00, -0.14, 0.00	0.99, 0.00, 0.00
176	0.00, -21.94, -9.68, 0.13, 0.00	0.00, 0.00, 0.00, -0.13, 0.00	0.99, 0.00, 0.00
177	0.00, -21.95, -9.69, 0.12, 0.00	0.00, 0.00, 0.00, -0.13, 0.00	0.99, 0.00, 0.00
178	0.00, -21.95, -9.69, 0.12, 0.00	0.00, 0.00, 0.00, -0.12, 0.00	0.99, 0.00, 0.00
179	0.00, -21.96, -9.70, 0.11, 0.00	0.00, 0.00, 0.00, -0.12, 0.00	0.99, 0.00, 0.00
180	0.00, -21.96, -9.70, 0.11, 0.00	0.00, 0.00, 0.00, -0.11, 0.00	0.99, 0.00, 0.00
181	0.00, -21.97, -9.71, 0.10, 0.00	0.00, 0.00, 0.00, -0.10, 0.00	0.99, 0.00, 0.00
182	0.00, -21.98, -9.71, 0.10, 0.00	0.00, 0.00, 0.00, -0.10, 0.00	0.99, 0.00, 0.00
183	0.00, -21.98, -9.72, 0.09, 0.00	0.00, 0.00, 0.00, -0.09, 0.00	0.99, 0.00, 0.00
184	0.00, -21.99, -9.72, 0.09, 0.00	0.00, 0.00, 0.00, -0.09, 0.00	0.99, 0.00, 0.00
185	0.00, -21.99, -9.73, 0.08, 0.00	0.00, 0.00, 0.00, -0.08, 0.00	0.99, 0.00, 0.00
186	0.00, -22.00, -9.73, 0.08, 0.00	0.00, 0.00, 0.00, -0.08, 0.00	0.99, 0.00, 0.00
187	0.00, -22.00, -9.74, 0.07, 0.00	0.00, 0.00, 0.00, -0.07, 0.00	0.99, 0.00, 0.00
188	0.00, -22.01, -9.74, 0.07, 0.00	0.00, 0.00, 0.00, -0.07, 0.00	0.99, 0.00, 0.00
189	0.00, -22.01, -9.75, 0.06, 0.00	0.00, 0.00, 0.00, -0.06, 0.00	0.99, 0.00, 0.00
190	0.00, -22.02, -9.75, 0.06, 0.00	0.00, 0.00, 0.00, -0.06, 0.00	0.99, 0.00, 0.00
191	0.00, -22.02, -9.76, 0.05, 0.00	0.00, 0.00, 0.00, -0.05, 0.00	0.99, 0.00, 0.00
192	0.00, -22.03, -9.76, 0.05, 0.00	0.00, 0.00, 0.00, -0.05, 0.00	1.00, 0.00, 0.00
193	0.00, -22.03, -9.77, 0.04, 0.00	0.00, 0.00, 0.00, -0.04, 0.00	1.00, 0.00, 0.00
194	0.00, -22.04, -9.77, 0.04, 0.00	0.00, 0.00, 0.00, -0.04, 0.00	1.00, 0.00, 0.00
195	0.00, -22.04, -9.78, 0.03, 0.00	0.00, 0.00, 0.00, -0.03, 0.00	1.00, 0.00, 0.00
196	0.00, -22.05, -9.78, 0.03, 0.00	0.00, 0.00, 0.00, -0.03, 0.00	1.00, 0.00, 0.00
197	0.00, -22.05, -9.79, 0.02, 0.00	0.00, 0.00, 0.00, -0.02, 0.00	1.00, 0.00, 0.00
198	0.00, -22.06, -9.79, 0.02, 0.00	0.00, 0.00, 0.00, -0.02, 0.00	1.00, 0.00, 0.00
199	0.00, -22.06, -9.80, 0.01, 0.00	0.00, 0.00, 0.00, -0.01, 0.00	1.00, 0.00, 0.00
200	0.00, -22.07, -9.80, 0.01, 0.00	0.00, 0.00, 0.00, -0.01, 0.00	1.00, 0.00, 0.00
201	0.00, -22.07, -9.81, 0.00, 0.00	0.00, 0.00, 0.00, 0.00, 0.00	1.00, 0.00, 0.00
202	0.00, -22.07, -9.81, 0.00, 0.00	0.00, 0.00, 0.00, 0.00, 0.00	1.00, 0.00, 0.00
203	0.00, -22.07, -9.80, 0.01, 0.00	0.00, 0.00, 0.00, -0.01, 0.00	1.00, 0.00, 0.00
204	0.00, -22.06, -9.80, 0.01, 0.00	0.00, 0.00, 0.00, -0.01, 0.00	1.00, 0.00, 0.00
205	0.00, -22.06, -9.79, 0.02, 0.00	0.00, 0.00, 0.00, -0.02, 0.00	1.00, 0.00, 0.00
206	0.00, -22.05, -9.79, 0.02, 0.00	0.00, 0.00, 0.00, -0.02, 0.00	1.00, 0.00, 0.00
207	0.00, -22.05, -9.78, 0.03, 0.00	0.00, 0.00, 0.00, -0.03, 0.00	1.00, 0.00, 0.00
208	0.00, -22.04, -9.78, 0.03, 0.00	0.00, 0.00, 0.00, -0.03, 0.00	1.00, 0.00, 0.00
209	0.00, -22.04, -9.77, 0.04, 0.00	0.00, 0.00, 0.00, -0.04, 0.00	1.00, 0.00, 0.00
210	0.00, -22.03, -9.77, 0.04, 0.00	0.00, 0.00, 0.00, -0.04, 0.00	1.00, 0.00, 0.00
211	0.00, -22.03, -9.76, 0.05, 0.00	0.00, 0.00, 0.00, -0.05, 0.00	1.00, 0.00, 0.00
212	0.00, -22.02, -9.76, 0.05, 0.00	0.00, 0.00, 0.00, -0.05, 0.00	0.99, 0.00, 0.00
213	0.00, -22.02, -9.75, 0.06, 0.00	0.00, 0.00, 0.00, -0.06, 0.00	0.99, 0.00, 0.00
214	0.00, -22.01, -9.75, 0.06, 0.00	0.00, 0.00, 0.00, -0.06, 0.00	0.99, 0.00, 0.00
215	0.00, -22.01, -9.74, 0.07, 0.00	0.00, 0.00, 0.00, -0.07, 0.00	0.99, 0.00, 0.00
216	0.00, -22.00, -9.74, 0.07, 0.00	0.00, 0.00, 0.00, -0.07, 0.00	0.99, 0.00, 0.00
